,comment,rating,class,clean_comment,sentiment,sentiment_predict
32,Ga ada lg sih yg lebih enak dr wangi ini.,5,1,ga lg sih lebih enak dr wangi,1,0
33,"pesanan dikemas rapi dan sesuai dengan deskripsi produk, expired Oktober 2025",5,1,pesan kemas rapi sesuai deskripsi produk expired oktober,1,1
34,"KURIR TIDAK TELITI BACA ALAMAT !!!!

INI SUDAH KE 3 X NYA TERJADI !!?",1,1,kurir teliti baca alamat sudah x nya jadi,0,0
35,"sudah tiba, terima kasih atas bonusnya juga ya.",5,1,tiba terima kasih atas bonus ya,1,1
36,mantap promo nya. kiriman cepat sampai. makasi,5,1,mantap promo nya kirim cepat makas,1,1
37,pas sesuai pesanan ku makasih yah tambah maju yah usaha nya,5,1,pas sesuai pesan ku makasih yah tambah maju yah usaha nya,1,1
38,"Barang  pesanan (2 produk) sudah diterima dalam keadaan baik • hari ini, Rabu, 21 September 2022 sekitar jam 11.30 siang.-
Terima kasih.",5,1,barang pesan produk terima ada baik hari rabu september jam siang terima kasih,1,1
39,Saya udh mencoba pakai selama 2 minggu setiap malam. Hasilnya rambut saya masih banyak yg rontok. Sepertinya barangnya ga ngejamin dapat mengurangi kerontokan rambut.,3,1,udh coba pakai lama minggu malam hasil rambut masih banyak rontok seperti barang ga ngejamin kurang rontok rambut,0,0
40,"Thank you, kakakku. Pesanan sampai dgn aman diMedan. Seller nya baik dan ramah. Thanks to Tokopedia too😊",5,1,thank you kakak pesan dgn aman medan seller nya baik ramah thanks to tokopedia too,1,1
41,"barang bagus, pengiriman lama",4,1,barang bagus kirim lama,1,0
42,"barang sampai tepat waktu dan dlm kondisi baik, hanya saja saya kecewa dng isinya...di deskripsi ditulis bentuknya gel, tp yg sampai pada saya itu cair tdk ada gel-gelnya... ",2,1,barang tepat waktu dlm kondisi baik saja kecewa dng isinyadi deskripsi tulis bentuk gel tp sampai saya cair tdk gelgelnya,0,0
43,"kemasan produk pecah di dalam bubble wrap sehingga isi produk meluber kemana2. 
apakah belum melalui tahapan quality control san quality assurance terkait kekuatan kemasa... ",2,1,kemas produk pecah dalam bubble wrap isi produk luber belum lalu tahap quality control san quality assurance kait kuat masa,0,0
44,ok banget deh,5,1,banget deh,1,1
45,Headband tidak diterima.,3,1,headband terima,0,0
46,"Oke barangnya, wangi, sesuai pesanan, cepat sampai",5,1,oke barang wangi sesuai pesan cepat,1,1
47,Packingnya rapi,5,1,packingnya rapi,1,1
48,baunya nyegerin cocok buat siang²,5,1,bau nyegerin cocok buat siang,1,1
49,sesuai dan puas 👍,5,1,sesuai puas,1,1
50,"paket sesuai pesanan
produk original
harga diskon, 
makasih seller & toped",5,1,paket sesuai pesan produk original harga diskon makasih seller toped,1,1
51,packing pengiriman lumayan sukses selalu,5,1,packing kirim lumayan sukses selalu,1,1
52,"Barang diterima dalam keadaan baik, packing rapih dan aman, barang sesuai dengan deskripsi produk, fast respon & recommended seller..terima kasih 😊",5,1,barang terima ada baik packing rapih aman barang sesuai deskripsi produk fast respon recommended sellerterima kasih,1,1
53,"paling cocok u kulit sensitif...sdh pakai selama 10th lebih,cuma susah carinya sekarang",5,1,paling cocok u kulit sensitifsdh pakai lama th lebihcuma susah cari sekarang,1,1
54,"pengiriman bagus.sayangnya memang shampoo Saya tidak cocok Sama sekali.rambut Saya jadi ngembang,kasar,kusut,Dan tetap rontok.untuk hair tonic nya Saya tetap pakai Saya t... ",3,1,kirim bagussayangnya memang shampoo tidak cocok sama sekalirambut jadi ngembangkasarkusutdan tetap rontokuntuk hair tonic nya tetap pakai t,0,0
55,"Pasak Buwono Ceng-nya sudah mendarat dengan baik dan sempurna, Mantap 👍👍
Padahal memanfaatkan bonus free ongkir tapi ga nyampe 1  X 24 Jam pesenan sudah nyampe rumah.
B... ",5,1,pasak buwono ceng darat baik sempurna mantap padahal manfaat bonus free ongkir ga nyampe x jam sen nyampe rumah b,1,1
56,Recommended seller dan product udah langganan,5,1,recommended seller product udah langgan,1,1
57,"cocok pake ini..
next beli lagi",5,1,cocok pake next beli,1,1
58,paket sudah sampai degn cepat makasih toped..next order lagi,5,1,paket sampai degn cepat makasih topednext order,1,1
59,"Cem ceman nya wangi, moga cocok. Kalo boleh mau saranin lubang botolnya dikecilin, biar waktu tuang ngak langsung keluar banyak.",5,1,cem ceman nya wangi moga cocok kalo mau saranin lubang botol dikecilin biar waktu tuang ngak langsung keluar banyak,1,0
60,✔️expired Feb 2026 👍msh sngat lama ✔️rasanya 👍Oke di lidah ✔️packing rapi dgn bubble wrap dan kardus ✔️dikirim lengkap sesuai pesanan.,5,1,expired feb msh sngat lama rasa oke lidah packing rapi dgn bubble wrap kardus kirim lengkap sesuai pesan,1,1
61,biasa aja,5,1,biasa aja,1,0
62,"beli 2 cm dtg 1,,cm lupa unboxing video,, jadi tidak bisa di proses,,",2,1,beli cm dtg cm lupa unboxing video jadi bisa proses,0,0
63,"kurang cocok, terasa gatal, lepek jatuhnya. rambut memang rontok parah dengan hair tonic ini sepertinya kurang manjur",3,1,kurang cocok asa gatal lepek jatuh rambut memang rontok parah hair tonic seperti kurang manjur,0,0
64,Pesen body butter dikirimnya scrub akhirnya kirim balik dan berujung ditukar dengan uang,1,1,sen body butter kirim scrub akhir kirim balik ujung tukar uang,0,0
65,Sangat lama,1,1,sangat lama,0,0
66,"kualitas produk , kecepatan pengiriman, packing sangat baik.",5,1,kualitas produk cepat kirim packing sangat baik,1,1
67,pemesanan ke dua. review pemakaian botol pertama dengan rutin bikin rambut baru cepet tumbuh dalam waktu sebulan. sayang bgt sama miminnya karna selalu puas juga karna pa... ,5,1,mesan dua review pakai botol pertama rutin bikin rambut baru cepet tumbuh waktu bulan sayang bgt sama miminnya karna selalu puas karna pa,1,1
68,"pelayanan dan proses kirimnya lama sekali, br diproses H+2 itupun hampir lewat dr batas maksimal waktu proses, mgkn kedepan bs ditingkatkan lg kecepatan proses kirimnya.... ",3,1,layan proses kirim lama sekali br proses h itu hampir lewat dr batas maksimal waktu proses mgkn depan bs tingkat lg cepat proses kirim,0,0
69,"proses toko baik 
proses pengiriman baik dan sewajarnya 
packing sangat baik 
produk masih baru bukan stok lama 
exp 0625 

thank you seller",5,1,proses toko baik proses kirim baik wajar packing sangat baik produk baru bukan stok lama thank you seller,1,1
70,kualitas produk bagus tapi sayang pelayanan kirim lama bangat,2,1,kualitas produk bagus sayang layan kirim lama bangat,0,0
71,Aku suka wangi yang kek gini. Mantap,5,1,aku suka wangi kek gin mantap,1,1
72,Enak kunyit asemnya. Segar apalagi kalau diminum setelah ditaruh di kulkas. Dikasi bonus beras kencur pula. Terimakasih Mustika Ratu.,5,1,enak kunyit asemnya segar kalau minum taruh kulkas kasi bonus beras kencur terimakasih mustika ratu,1,1
73,"untuk harga segini sih overall bagus, cuma ya gabisa ngangkat sebagus brand yg harganya mahal2",5,1,harga gin sih overall bagus cuma gabisa ngangkat bagus brand harga mahal,1,1
74,coverage sangat kurang,3,1,coverage sangat kurang,0,0
75,ga ngefek,2,1,ga ngefek,0,0
76,lembut banget di aplikasi kan ke badan,5,1,lembut banget aplikasi kan badan,1,1
77,"kemasannya lem lakban  semua,ngerjain bgt",3,1,kemas lem lakban semuangerjain bgt,0,0
78,"paket dikirim dengan aman, bonus beras kencur. thank you mustika ratu",5,1,paket kirim aman bonus beras kencur thank you mustika ratu,1,1
79,pengiriman cepat dan packaging aman..barang bagus..kadaluarsa masih lama,5,1,kirim cepat packaging amanbarang baguskadaluarsa lama,1,1
80,mantap banget murahhh,5,1,mantap banget murah,1,1
81,Pengemasan bgs n produk mantap,5,1,emas bgs n produk mantap,1,1
82,"packing rapi, pengiriman cepat.. top deh....",4,1,packing rapi kirim cepat top deh,1,1
83,"packing bagus, aman, exp sampo sama tonik.nya jg msh lama, 3th ..",5,1,packing bagus aman sampo sama tonik jg msh lama th,1,1
84,"Okee bangeet 
Cepat sampainyaa 
Amanah",5,1,okee bangeet cepat sampainyaa amanah,1,1
85,Alhamdulilah sesuai terimakasih seller,5,1,alhamdulilah sesuai terimakasih seller,1,1
86,seller bagus. barang sampai dengan aman. yang kurang srek sama pihak Anteraja yang jarang update posisi barang dan molor dua kali lipat dari estimasi pengiriman. pak kuri... ,5,1,seller bagus barang dengan aman kurang srek sama pihak anteraja jarang update posisi barang molor kali lipat estimasi kirim pak kur,1,1
87,"Sekelas mustika ratu kok bisa prosesnya sangat lama ya? 
Order tgl 14 juli, hari kamis, pick up berhasil baru di hari senin 18 juli!

Bukan sekali atau dua kali saya orde... ",2,1,kelas mustika ratu kok proses sangat lama order tgl juli hari kamis pick up hasil baru hari senin juli bukan sekali dua kali orde,0,0
88,ok banget mksh,5,1,banget mksh,1,1
89,ok bgt mksh,5,1,bgt mksh,1,1
90,Ga ada hasil. berat masih sama,3,1,ga hasil berat sama,0,0
91,klo pelembabnya oke sih. kmrin diskon jd kubeli,5,1,klo pelembabnya oke sih kmrin diskon jd bel,1,1
92,"kadaluarsanya terlalu mepet, cuma sekitar 6 bulan. mestinya lebih dari 6 bln dong, malah maunya setahunlah.",3,1,kadaluarsanya terlalu mepet cuma bulan mesti lebih bln dong malah mau tahun,0,0
93,Ini pertama kalinya selama hampir 5 tahun pake Tokped saya kasih bintang 1..selama ini di banyak toko online walaupun tidak memuaskan saya tetap kasih bintang LIMA..karna... ,1,1,pertama kali lama hampir tahun pake tokped kasih bintang lama di banyak toko online walaupun muas tetap kasih bintang limakarna,0,0
94,Awalnya terjadi kesalahan pengiriman barang. Tp respon penjual baik dan cepat. Respon Tokopedia Care juga sangat tanggap dan cepat. Kesalaham pengiriman barang dapat tera... ,5,1,awal jadi salah kirim barang tp respon jual baik cepat respon tokopedia care sangat tanggap cepat kesalaham kirim barang tera,1,1
95,"Toko lambat, dan kurirpun si Cepat tiada lawan",3,1,toko lambat kurir si cepat tiada lawan,0,0
96,barang yg dkrim tidak sesuai yg dminta,1,1,barang dkrim sesuai dminta,0,0
97,"akhirnya bisa nyobain produk asli bangga buatan Indonesia dari mustika ratu, harganya cukup ekonomis, expirednya juga Desember 2024, terima kasih mustika ratu",5,1,akhir nyobain produk asli bangga buat indonesia mustika ratu harga cukup ekonomis expirednya desember terima kasih mustika ratu,1,1
98,"hair tonicnya cocok untuk rambut dan kulit kepala aku, tidak membuat rambut kering, bau wanginya juga kalem.",5,1,hair tonicnya cocok rambut kulit kepala aku buat rambut kering bau wangi kalem,1,1
99,"Pesanan sudah sampai di Denpasar, makasih banyak kak udah bungkus rapi pakai kardus, selebihnya bintang dan foto yang berbicara☺️👍",5,1,pesan sampai denpasar makasih banyak kak udah bungkus rapi pakai kardus lebih bintang foto bicara,1,1
100,sayang penyegarnya sedikit bocor jadi basah deh semua,5,1,sayang segar sedikit bocor jadi basah deh semua,1,0
101,"produknya ori... sdh biasa pake ...
oilnya hangat",5,1,produk ori sdh biasa pake oilnya hangat,1,1
102,puas sekaliii..  produk sesuai & packing aman. thx!,5,1,puas sekali produk sesuai packing aman thx,1,1
103,Brg smp dng selamat,5,1,brg smp dng selamat,1,1
104,pasta gigi terbaikk dan favorit banget,5,1,pasta gigi terbaikk favorit banget,1,1
105,"ini udah pembelian kesekian kalinya, aduhh cocok banget sama muka! selalu seger setelah dipake",5,1,udah beli sekian kali aduhh cocok banget sama muka selalu seger dipake,1,1
106,"Paket aman, tdk ada yg bocor terima kasih",5,1,paket aman tdk yg bocor terima kasih,1,1
107,Sampai saat ini saya belum menerima barang yg saya beli dan sudah saya bayar.. !!,1,1,saat terima barang saya beli sudah saya bayar,0,0
108,udah komplain barang kurang. tapi akhirnya tetap barang tidak dikirim. dan diselesaikan. masker kurang 2. hati2 buat yg mau beli paketan 3 masker. nanti dikirim cuma 1. b... ,1,1,udah komplain barang kurang akhir tetap barang kirim selesai masker kurang hati buat mau beli paket masker kirim cuma b,0,0
109,"Thanks in advance kak, tapi kecewa dong, official store loh ya, beli bundling dapatnya cuma 1 (cleanser doang). Mau komplain, tapi aku gak video-in proses unboxing, jd g... ",3,1,thanks in advance kak kecewa dong official store loh beli bundling dapat cuma cleanser doang mau komplain aku gak videoin proses unboxing jd g,0,0
110,Praktis dan bagus,5,1,praktis bagus,1,1
111,Barang yang dikirim tidak sesuai pesanan,1,1,barang kirim sesuai pesan,0,0
112,"pesan bundling isi 2, yang datang hanya 1 merugikan sekali",1,1,pesan bundling isi datang rugi sekali,0,0
113,Kemasan Rapih dan aman,5,1,kemas rapih aman,1,1
114,pengiriman sesuai request,5,1,kirim sesuai request,1,1
115,mantap euy,5,1,mantap euy,1,1
116,sesuai psnn terimakasih,5,1,sesuai psnn terimakasih,1,1
117,"proses kemas agak lama.

packing tidak aman. 
box yang saya terima bolong. syukurlah barangnya masih ada tidak jatuh bahkan hilang.

tolong lain kali lebih diperhatikan l... ",2,1,proses kemas lama packing aman box saya terima bolong syukur barang ada jatuh bahkan hilang lain kali lebih perhati l,0,0
118,"pengiriman lama,ganti estimasi sampai 3X",3,1,kirim lamaganti estimasi x,0,0
119,"beli paket isi 3, pas dibuka cuma isi 2. respon toko lambat",1,1,beli paket isi pas buka cuma isi respon toko lambat,0,0
120,super lama nyampenya....,3,1,super lama nyampenya,0,0
121,ih sekali pemakaian aja lembutnya lamaa..smga aja bantu aku ngerawat rambut...otw purchase produk lain buat rambutku..,5,1,ih sekali pakai aja lembut lamaasmga aja bantu aku ngerawat rambutotw purchase produk buat rambut,1,0
122,bagus tp pengiriman lama,5,1,bagus tp kirim lama,1,0
123,Exp apr23. Tinggal 11bln lagi 😢,3,1,apr tinggal bln,0,0
124,Expired mar23. Tinggal 10bln lagi 😢,3,1,expired mar tinggal bln,0,0
125,Hampir tidak pernah ready stock.,1,1,hampir pernah ready stock,0,0
126,"barang sesuaii, no minus.",5,1,barang sesuai no minus,1,1
127,lipstik tdk sesuai yg dipesan dan 2hari baru dikirim,1,1,lipstik tdk sesuai pes hari baru kirim,0,0
128,barang bagus..packaging rapi...exp masih lama..,5,1,barang baguspackaging rapiexp lama,1,1
129,Lama Respon dan pengiriman,3,1,lama respon kirim,0,0
130,pesan 2 dikirim satu,1,1,pesan kirim satu,0,0
131,terimakasih moga berlangganan,5,1,terimakasih moga langgan,1,1
132,"Responsnya sangat lamban. Barang diorder tanggal 12 Mei, baru sampai ke alamat saya tanggal 17 Mei. Padahal sama2 di Jakarta.",3,1,respons sangat lamban barang order tanggal mei baru ke alamat tanggal mei padahal sama jakarta,0,0
133,"mutu yg baik, untuk harga bagus, Kosmetik & produk perawatan wajah merk lokal yg terpercaya aman.🇲🇨🌼👍🏼👍🏼😍",5,1,mutu baik harga bagus kosmetik produk awat wajah merk lokal percaya aman,1,1
134,Packing sangat bagus..cocok dari jaman remaja..thanks 👍,5,1,packing sangat baguscocok jaman remajathanks,1,1
135,barang sampai dengan selamat packing jg aman sekali keren👍🏻,5,1,barang dengan selamat packing jg aman sekali keren,1,1
136,barang sampai dg selamat n barang ok n ortu senang,5,1,barang dg selamat n barang n ortu senang,1,1
137,"awalnya sempat terkejut kemasan paket terbuka di sisinya, dus sptnya tertekan sampai penyok & robek, setelah di cek isinya aman & utuh, berarti ekspedisi ini ngga... ",3,1,awal sempat kejut kemas paket buka sisi dus sptnya tekan penyok robek di cek isi aman utuh arti ekspedisi ngga,0,0
138,"barang cepat sampai, real pict, sellernya ramah dan fast respon.
tq seller😊",5,1,barang cepat real pict sellernya ramah fast respon tq seller,1,1
139,"pesen bundling yg datang hanya hair tonic aja, shampoonya mana? pengajuan via komplain gaada di respon. begini amat admin official store mustika ratu. malu deh sama nama... ",1,1,sen bundling datang hair tonic aja shampoonya mana aju via komplain gaada respon begini admin official store mustika ratu malu deh sama nama,0,0
140,lama nyampe nya tapi puas barang oke,5,1,lama nyampe nya puas barang oke,1,1
141,pengiriman lama + pengemasan lama,1,1,kirim lama emas lama,0,0
142,"Pesan 2, yg datang hanya 1. Telat buka paket utk cek jadi sudah keburu selesai pemesanannya. Kesel!!!",1,1,pesan datang telat buka paket utk cek jadi keburu selesai mesan kesel,0,0
143,Barang tidak sesuai pesanan,1,1,barang sesuai pesan,0,1
144,kalo di bilang waterproof sepertinya tidak ya🙏,3,1,kalo bilang waterproof seperti ya,0,0
145,Alhamdulillah dtg sblm lebaran,5,1,alhamdulillah dtg sblm lebaran,1,1
146,mantaaap pengiriman super cepaat,5,1,mantap kirim super cepaat,1,1
147,Packaging sangat aman. Sepertinya ada trouble dr pihak ekspedisi karena proses pengiriman ke Surabaya memakan waktu 5 hari. But I can't wait to try this,5,1,packaging sangat aman seperti trouble dr pihak ekspedisi proses kirim surabaya makan waktu hari but i cant wait to try this,1,1
148,"bagus, packing aman",5,1,bagus packing aman,1,1
149,"harga sangat worth untuk ukuran segini. packing super aman. baru aku pakai dua kali, pada saat keramas kerasa lebih keset gitu di rambut. tapi pas udah selesai rambut jad... ",5,1,harga sangat worth ukur gin packing super aman baru aku pakai kali saat keramas rasa lebih keset gitu rambut pas udah selesai rambut jad,1,0
150,"ini produk MR trmasuk the legend, sdh berkontribusi besar pd dunia kesehatan👍😍, untung ada OS nya.... trmksh Toped😘",5,1,produk mr trmasuk the legend sdh kontribusi besar pd dunia sehat untung os nya trmksh toped,1,1
151,Enak tapi terlalu manis rasanya,5,1,enak terlalu manis rasa,1,0
152,"Lumayan dpt harga promo, tq",4,1,lumayan dpt harga promo tq,1,1
153,"kurang teliti. ordernya apaa...dikirimnya apaa..
order pelembab yang dateng masker cream wajah. harusnya dh bisa pakai. eh jd masih nunggu lama return",1,1,kurang teliti order apaadikirimnya apaa order pelembab dateng masker cream wajah harus dh pakai eh jd nunggu lama return,0,0
154,"pesanan gua diproses sampe 2 hari lebih, padahal pesennya di hari kerja. kurir sempet bermasalah tapi untungnya masih mau bertanggungjawab. pembelian ke-2 mengecewakan ba... ",1,1,pesan gua proses sampe hari lebih padahal sen hari kerja kurir sempet masalah untung mau bertanggungjawab beli kecewa ba,0,0
155,samponya kurang satu beli twinpack dikirim 1 pcs hadeuh,1,1,sampo kurang satu beli twinpack kirim pcs hadeuh,0,0
156,Saya belum menerima barangnya,1,1,belum terima barang,0,0
157,Nyaman di kulit. Kulit jadi glowing ✨. Packaging simpel. Packaging unik. Penjualnya ramah banget. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Respon penjualn... ,5,1,nyaman kulitkulit jadi glowing packaging simpelpackaging unikpenjualnya ramah bangetproses pesan cepatpackaging aman packaging rapirespon penjualn,1,1
158,"terimakasih banyak, produk original",5,1,terimakasih banyak produk original,1,1
159,"sy pesan boundling isi 2 botol lulur kocok, tapi yg dikirim HANYA SATU botol, dan hanya dijawab akan diproses.. tapi sampai saat ini tidak dikirim lagi.. hati2 belanja di... ",1,1,sy pesan boundling isi botol lulur kocok yg kirim satu botol hanya jawab proses sampai ini kirim hati belanja,0,0
160,5 hari baru sampai,4,1,hari baru,1,0
161,sangat bagus,5,1,sangat bagus,1,1
162,baguss cuma agak lama proses nya,5,1,baguss cuma lama proses nya,1,1
163,Utk pelembut kulit dan bisa Utk pijat,5,1,utk lembut kulit bisa utk pijat,1,1
164,bagus banget...  bikin kulit wajah aku sehat dan tidak kering lagii terimakasih,5,1,bagus banget bikin kulit wajah aku sehat tidak kering lagi terimakasih,1,1
165,thx fast respon 👍,5,1,thx fast respon,1,1
166,terimakasih.. cepet banget gak Ampe 24 jam udah sampe rumah,5,1,terimakasih cepet banget gak ampe jam udah sampe rumah,1,1
167,"Dapet harga kejar diskon sih cuma 3k, tapi produk yg dateng juga ya sesuai harga..
Bocoooooor... sedih deh..
tapi makasih..",2,1,dapet harga kejar diskon sih cuma k produk dateng ya sesuai harga bocor sedih deh makasih,0,0
168,"patah tutupnya, lain kali pengemasannya diperbaiki",2,1,patah tutup kali emas baik,0,0
169,Terimakasih banyak ya gan.. :),5,1,terimakasih banyak gan,1,1
170,baru pertama kali make terasa cekat cekit di beberapa daerah wajah. tapi tetep okelah,3,1,baru pertama kali make asa cekat cekit beberapa daerah wajah tetep oke,0,0
171,beli buat ibu saya katanya cocok untuk kulitnya. terimakasih,5,1,beli buat ibu kata cocok kulit terimakasih,1,0
172,bagus bgt barangnya,5,1,bagus bgt barang,1,1
173,Nyaman di kulit. Kulit jadi glowing ✨. Packaging aman 🙏. Packaging simpel. Packaging rapi. Proses pesanan cepat.,5,1,nyaman kulitkulit jadi glowing packaging aman packaging simpelpackaging rapiproses pesan cepat,1,1
174,katanya expired nya 1 tahun. tapi ini cuma beberapa bulan. rugi banget:),1,1,kata expired nya tahun ini cuma beberapa bulan rugi banget,0,0
175,"Packaging produk baik, kecepatan pengiriman produk sangat baik, pertama kali coba body butternya.",5,1,packaging produk baik cepat kirim produk sangat baik pertama kali coba body butternya,1,1
176,Kecil banget ternyata dan gaada efeknya,1,1,kecil banget nyata gaada efek,0,0
177,Pengiriman nya terlalu mlm sampainya,3,1,kirim nya terlalu mlm sampai,0,0
178,"Selalu puas belanja disini, tdk prnh mengecewakan. Produk bagus, lembut & wangi. Sukses terus.",5,1,selalu puas belanja sini tdk prnh kecewa produk bagus lembut wangi sukses terus,1,1
179,"Harga bersahabat, proses pengemasan dan pengiriman memuaskan",5,1,harga sahabat proses emas kirim muas,1,1
180,bkin kukit halussssssssssss,5,1,bkin kit halus,1,1
181,Pengiriman baru di pesan sore langsung di kirim malam. super cepat. barang langsung sampe esok hari. super recommended.,5,1,kirim baru pesan sore langsung kirim malam super cepat barang langsung sampe esok hari super recommended,1,1
182,alhamdullilah pengiriman cepat...ori..paking buble dan kardus...langsung di pakai..terimakasih pelayanan baiknya👍,5,1,alhamdullilah kirim cepatoripaking buble karduslangsung pakaiterimakasih layan baik,1,1
183,"Bagus, baunya lebih enak dari hand gel pada umumnya, soal ampuh ngganya saya ga tau, bakterinya juga saya ga bisa liat.
seperti biasa pengiriman dan packing emang paling... ",5,1,bagus bau lebih enak hand gel umum soal ampuh ngganya ga tau bakteri saya ga liat biasa kirim packing emang paling,1,1
184,"Terimakasih untuk seler yang sangat baik dan ramah.alhamdulilah pesenan sudah sampai dengan baik.Pengiriman sangat kilat, Masya Allah.Terimaksih untuk mas kurir y juga sa... ",5,1,terimakasih seler sangat baik ramahalhamdulilah sen sampai baikpengiriman sangat kilat masya allahterimaksih mas kurir y sa,1,1
185,"pengemasan oke, nanti di coba dlu",5,1,emas oke di coba dlu,1,1
186,"respond seller asik. produk original, packing dan kurir mantul.",5,1,respond seller asik produk original packing kurir mantul,1,1
187,yang ini agak rembes. pas dibuka wanginya dia semua. yang gue suka bgt lagi wanginya. perhatikan packing ya.,4,1,ini rembes pas buka wangi semua gue suka bgt wangi perhati packing,1,1
188,Tiba sesuai pesanan dan spesifikasi.,5,1,tiba sesuai pesan spesifikasi,1,1
189,Sudah beli berkali2 dan sudah merasakan manfaatnya.,5,1,beli kali sudah rasa manfaat,1,0
190,Alhamdulillah sudah diterima dengan baik.. sesuai ekspetasi dan diskripsi,5,1,alhamdulillah terima baik sesuai ekspetasi skripsi,1,1
191,aku udah coba dan ini bagus banget buat atasin problem rambut rontok,5,1,aku udah coba ini bagus banget buat atasin problem rambut rontok,1,1
192,sudah berkali-kali reorder,5,1,berkalikali reorder,1,1
193,Proses pesanan cepat. Packaging simpel. Packaging rapi.,5,1,proses pesan cepatpackaging simpelpackaging rapi,1,1
194,teh nya enak. ada aroma lemon & madu nya ❤️,5,1,teh nya enak aroma lemon madu nya,1,1
195,"Terimakasih atas respons yg cepat,serta pengiriman yg baik",5,1,terimakasih atas respons cepatserta kirim baik,1,1
